,title,rating,releaseYear
0,The Godfather,4.39,1969
1,The Godfather: Part II,3.92,unknown
2,The Shawshank Redemption,4.48,unknown
3,Witness for the Prosecution,4.07,1995
4,Schindler's List,4.34,1982
5,Game of Thrones,4.44,1996
6,Psycho,3.81,1991
7,One Flew Over the Cuckoo's Nest,4.20,1962
8,The Grapes of Wrath,4.01,1939
9,To Kill a Mockingbird,4.26,1960
10,Apocalypse Now,3.72,2013
11,Rebecca,4.25,1938
12,Forrest Gump,4.02,1986
13,The Lord of the Rings: The Return of the King,4.62,2003
14,The Pianist,4.25,1946
15,The Shining,4.28,1977
16,A Clockwork Orange,really liked it 4.00,1962
17,The Silence of the Lambs,4.25,1988
18,The Holy Innocents,3.61,1988
19,Blade Runner,3.61,1995
20,Fight Club,4.18,1996
21,Trainspotting,4.11,1993
22,Mystic River,4.17,2001
23,The Lord of the Rings: The Fellowship of the Ring,4.65,2001
24,The Lord of the Rings: The Two Towers,4.67,unknown
25,Ben-Hur,4.03,1880
26,Gone with the Wind,4.31,1936
27,Barry Lyndon,3.62,1844
28,The Green Mile,4.48,1996
29,Doctor Zhivago,4.01,1957
30,2001: A Space Odyssey,4.17,1968
31,The Leopard,4.01,1958
32,Pride and Prejudice,4.29,1813
33,The Name of the Rose,4.14,1980
34,In Cold Blood,4.09,1959
35,The Exorcist,4.20,1971
36,Breakfast at Tiffany's,3.85,1958
37,Bram Stoker's Dracula,4.41,2023
38,Shutter Island,4.12,2003
39,Misery,4.23,1987
40,The Bridges of Madison County,3.70,1992
41,Lolita,3.88,1955
42,Stand by Me,3.69,2013
43,The Notebook,4.15,1996
44,Fahrenheit 451,3.96,1953
45,Moby Dick,3.55,1851
46,Gone Girl,4.14,2012
47,The Constant Gardener,3.82,2001
48,Interview With the Vampire,4.02,1976
49,Dune,4.28,1965
50,The Reader,3.78,1995
51,No Country for Old Men,4.16,2005
52,The Hours,3.92,2007
53,Les Misérables,4.21,1862
54,The Perks of Being a Wallflower,4.23,1999
55,Pride and Prejudice,4.29,1813
56,Sense and Sensibility,4.09,1811
57,Jurassic Park,4.11,1990
58,The Girl with the Dragon Tattoo,4.17,2005
59,Carrie,4.21,2022
60,Murder on the Orient Express,4.20,1934
61,The Pillars of the Earth,4.34,1989
62,Harry Potter and the Deathly Hallows: Part II,it was amazing 5.00,2011
63,The Hobbit: An Unexpected Journey,4.62,2012
64,The Boy in the Striped Pajamas,4.16,2006
65,Harry Potter and the Prisoner of Azkaban,4.58,1999
66,Atonement,3.94,2001
67,The NeverEnding Story,4.18,1979
68,Like Water for Chocolate,3.95,1989
69,Memoirs of a Geisha,4.15,1997
70,The Talented Mr. Ripley,3.95,1955
71,Jane Eyre,4.15,1847
72,Harry Potter and the Sorcerer's Stone,4.47,1997
73,Perfume: The Story of a Murderer,4.04,1985
74,The Hobbit: The Desolation of Smaug,4.54,2013
75,Harry Potter and the Goblet of Fire,4.57,2000
76,Harry Potter and the Deathly Hallows: Part I,0.00,unknown
77,The Road,3.99,2006
78,Charlie and the Chocolate Factory,4.16,1964
79,The Fault in Our Stars,4.13,2012
80,Harry Potter and the Chamber of Secrets,4.43,1998
81,The Mist,3.94,1980
82,The Hunger Games: Catching Fire,4.50,unknown
83,Harry Potter and the Half-Blood Prince,4.58,2005
84,Harry Potter and the Order of the Phoenix,4.50,2003
85,The Merchant of Venice,3.78,1596
86,The Hobbit: The Battle of the Five Armies,4.64,2014
87,The House of the Spirits,4.28,1982
88,The Great Gatsby,3.93,1925
89,The Hunger Games,4.34,2008
90,Angels & Demons,3.94,2000
91,It,4.14,2016
92,"The Chronicles of Narnia: The Lion, The Witch and the Wardrobe",4.46,2005
93,The Da Vinci Code,3.92,2003
94,Divergent,4.14,2011
95,Twilight,3.66,2005
96,The Twilight Saga: Eclipse,4.23,2010
97,The Twilight Saga: New Moon,4.27,2010
