,title,year,duration,rating,votes
0, The Godfather,1972,2h 55m,9.2, 2.1M
1, The Godfather Part II,1974,3h 22m,9.0, 1.4M
2, The Lord of the Rings: The Return of the King,2003,3h 21m,9.0, 2M
3, The Lord of the Rings: The Fellowship of the Ring,2001,2h 58m,8.9, 2.1M
4, Forrest Gump,1994,2h 22m,8.8, 2.3M
5, The Lord of the Rings: The Two Towers,2002,2h 59m,8.8, 1.8M
6, Fight Club,1999,2h 19m,8.8, 2.4M
7, One Flew Over the Cuckoo's Nest,1975,2h 13m,8.7, 1.1M
8, The Silence of the Lambs,1991,1h 58m,8.6, 1.6M
9, The Green Mile,1999,3h 9m,8.6, 1.4M
10, Psycho,1960,1h 49m,8.5, 735K
11, Grave of the Fireflies,1988,1h 28m,8.5, 326K
12, The Prestige,2006,2h 10m,8.5, 1.5M
13, Harakiri,1962,2h 13m,8.6, 73K
14, Dune: Part Two,2024,2h 46m,8.5, 537K
15, Apocalypse Now,1979,2h 27m,8.4, 724K
16, Paths of Glory,1957,1h 28m,8.4, 218K
17, The Shining,1980,2h 26m,8.4, 1.1M
18, Dr,1964,1h 35m,8.3, 527K
19, Das Boot,1981,2h 29m,8.4, 269K
20, High and Low,1963,2h 23m,8.4, 56K
21, 3 Idiots,2009,2h 50m,8.4, 446K
22, Once Upon a Time in America,1984,3h 49m,8.3, 385K
23, Requiem for a Dream,2000,1h 42m,8.3, 918K
24, Scarface,1983,2h 50m,8.3, 939K
25, Double Indemnity,1944,1h 47m,8.3, 171K
26, Vertigo,1958,2h 8m,8.3, 436K
27, Oppenheimer,2023,3h,8.3, 811K
28, Full Metal Jacket,1987,1h 56m,8.2, 805K
29, A Clockwork Orange,1971,2h 16m,8.2, 895K
30, To Kill a Mockingbird,1962,2h 9m,8.3, 338K
31, Die Hard,1988,2h 12m,8.2, 962K
32, Metropolis,1927,2h 33m,8.3, 189K
33, L,1997,2h 18m,8.2, 630K
34, Bicycle Thieves,1948,1h 29m,8.3, 179K
35, Shutter Island,2010,2h 18m,8.2, 1.5M
36, There Will Be Blood,2007,2h 38m,8.2, 654K
37, Jurassic Park,1993,2h 7m,8.2, 1.1M
38, No Country for Old Men,2007,2h 2m,8.2, 1.1M
39, The Wild Robot,2024,1h 42m,8.3, 59K
40, The Treasure of the Sierra Madre,1948,2h 6m,8.2, 134K
41, Yojimbo,1961,1h 50m,8.2, 134K
42, Howl's Moving Castle,2004,1h 59m,8.2, 466K
43, Gone with the Wind,1939,3h 58m,8.2, 339K
44, The Secret in Their Eyes,2009,2h 9m,8.2, 227K
45, Trainspotting,1996,1h 33m,8.1, 737K
46, The Bridge on the River Kwai,1957,2h 41m,8.1, 237K
47, Catch Me If You Can,2002,2h 21m,8.1, 1.1M
48, Harry Potter and the Deathly Hallows: Part 2,2011,2h 10m,8.1, 970K
49, Ben-Hur,1959,3h 32m,8.1, 258K
50, Barry Lyndon,1975,3h 5m,8.1, 187K
51, Blade Runner,1982,1h 57m,8.1, 838K
52, Gone Girl,2014,2h 29m,8.1, 1.1M
53, Jaws,1975,2h 4m,8.1, 678K
54, How to Train Your Dragon,2010,1h 38m,8.1, 819K
55, The Wages of Fear,1953,2h 36m,8.1, 68K
56, Room,2015,1h 58m,8.1, 459K
57, The Best Years of Our Lives,1946,2h 50m,8.1, 72K
58, The Exorcist,1973,2h 2m,8.1, 467K
59, The Wizard of Oz,1939,1h 42m,8.1, 436K
60, The Handmaiden,2016,2h 25m,8.1, 180K
61, The Iron Giant,1999,1h 26m,8.1, 235K
62, The Grapes of Wrath,1940,2h 9m,8.1, 102K
63, Rebecca,1940,2h 10m,8.1, 149K
64, The Help,2011,2h 26m,8.1, 502K
65, Cool Hand Luke,1967,2h 7m,8.1, 192K
